Name Lat      Lon   Elev Time
==============================
APW 46.658 -122.657  460 160.6 
ASR 46.151 -121.593 1280 150.3 
CDF 46.116 -122.048  780 117.7
CMM 46.435 -122.506  620 109.2
COW 46.491 -122.012  310  70.4
EDM 46.197 -122.150 1610  98.6
ELK 46.306 -122.341 1270  91.1
FL2 46.196 -122.350 1370 110.9
FMW 46.942 -121.670 1860 200.9
GLK 46.564 -121.609 1320 126.4
GLU 45.924 -121.596 1190 204.0
HSR 46.174 -122.179 1720 102.3
JUN 46.147 -122.153 1050 110.6
KOS 46.461 -122.191  830  72.2
LMW 46.668 -122.291 1200 104.7
LO2 46.750 -121.810  850 130.8
MTM 46.026 -122.212 1120 144.4
REM 46.199 -122.184 2100  96.8
RVC 46.943 -121.972 1000 173.7
RVW 46.148 -122.742  460 180.0
SHW 46.194 -122.235 1430 100.8
SOS 46.244 -122.137 1270  87.7
STD 46.238 -122.223 1270  92.0
TDL 46.351 -122.216 1400  73.7
WPW 46.698 -121.547 1250 160.4
YEL 46.210 -122.188 1750  94.2
