P Geopotential_Altitude[m] Geometric_Altitude[m]
======================================
1 48048.70 48413.94
2 43440.23 43738.55
3 39602.76 39850.56
5 35389.15 35586.89
7 33585.02 33763.05
10 31177.59 31330.96
20 26524.63 26635.56
30 23810.67 23900.02
50 20627.87 20694.90
70 18701.27 18756.34
100 16281.10 16322.83
125 14968.24 15003.50
150 13697.65 13727.18
175 12771.64 12797.30
200 11868.08 11890.24
225 11277.92 11297.93
250 10405.61 10422.64
300 9242.26 9255.70
350 8369.35 8380.36
400 7205.93 7214.09
450 6624.76 6631.66
500 5754.10 5759.30
550 4892.26 4896.02
600 4338.77 4341.73
650 3812.53 3814.82
700 3087.75 3089.25
750 2653.58 2654.69
775 2260.99 2261.80
800 2080.41 2081.09
825 1750.14 1750.63
850 1459.58 1459.91
875 1328.43 1328.70
900 987.00 987.15
925 798.62 798.72
950 566.49 566.54
975 334.22 334.24
1000 136.62 136.62
