Elev Temp windsp winddir
    0  -1.1  3.0 130.0
  500  -5.9  3.3 205.2
 1000  -7.2  6.0 254.0
 1500  -3.9  5.9 299.4
 2000  -3.0  9.8 313.3
 2500  -2.5 15.0 333.3
 3000  -5.6 18.1 330.0
 3500  -8.2 19.2 330.0
 4000 -11.9 20.0 336.5
 4500 -15.6 21.0 345.0
 5000 -19.4 24.4 351.9
 5500 -23.5 22.3 348.3
 6000 -26.7 19.6 343.4
 6500 -30.0 20.8 340.4
 7000 -33.6 20.0 345.0
 7500 -37.6 20.0 345.0
 8000 -41.5 21.0 346.5
 8500 -45.2 21.0 349.6
 9000 -49.1 23.2 346.3
 9500 -53.0 25.8 342.1
10000 -56.8 28.5 340.0
10500 -60.7 31.5 340.0
11000 -61.1 38.2 335.0
11500 -53.5 42.0 343.2
12000 -52.3 39.0 350.0
12500 -53.1 26.8 353.4
13000 -55.2 22.0 349.9
13500 -58.4 20.2 341.2
14000 -60.1 20.8 332.5
14500 -61.7 21.0 333.1
15000 -59.3 17.6 335.0
15500 -58.3 14.2 335.0
16000 -57.7 14.5 342.9
16500 -56.5 14.4 350.9
17000 -53.1 11.7 355.0
17500 -53.2  9.2 350.9
18000 -54.1  8.0 344.0
18500 -53.1  8.0 341.5
19000 -52.2  7.2 337.5
19500 -51.3  5.1 331.2
20000 -50.4  3.0 324.9
20500 -51.2  2.6 323.0
21000 -52.0  2.2 321.1
21500 -51.4  3.6 326.9
22000 -51.1  6.9 339.3
22500 -50.9  8.0 350.3
23000 -50.6  7.4   8.6
23500 -49.8  7.8  19.0
24000 -48.3  9.9  16.3
24500 -47.5 11.0  15.0
25000 -47.3 13.9  15.0
25500 -46.8 16.7  15.0
26000 -45.6 17.6  14.8
26500 -48.0 19.1  14.2
27000 -46.5 20.6  13.2
27500 -46.0 22.1  11.8
28000 -45.5 23.7  10.1
28500 -45.0 25.2   8.0
29000 -44.5 26.8   5.5
29500 -44.0 28.4   2.7
30000 -43.5 30.0 359.6
30500 -43.0 31.5 356.2
31000 -42.5 33.0 352.6
31500 -42.0 34.5 348.8
32000 -41.5 35.9 344.7
32500 -40.4 37.2 340.5
33000 -39.1 38.4 336.1
33500 -37.7 39.6 331.6
34000 -36.3 40.6 327.1
34500 -34.9 41.6 322.5
35000 -33.5 42.5 317.9
35500 -32.1 43.4 313.4
36000 -30.8 44.2 308.9
36500 -29.4 44.9 304.5
37000 -28.0 45.6 300.3
37500 -26.6 46.3 296.3
38000 -25.2 46.9 292.4
38500 -23.9 47.5 288.8
39000 -22.5 48.0 285.4
39500 -21.1 48.6 282.3
40000 -19.7 49.1 279.5
